apt_code,apt_sq,avg_price,top_avg_price,bottom_avg_price,recent_avg,recent_top,recent_bottom,trade_trend,price_trend
1Wl74,26,아파트의 평균 가격은 19억3113 만원입니다.,아파트의 상위 30% 층의 평균 가격은 19억8281 만원입니다.,아파트의 하층 30%에 위치한 아파트들의 평균 가격은 19억 5천만 원입니다.,가장 최근 거래의 가격은 평균 가격보다 약 1억1113 만원 낮습니다. 가장 최근 거래의 가격은 평균 가격의 약 94.2%입니다.,최고 가격은 최신 거래 가격보다 6억4000 만원 높습니다. 최신 거래 가격은 최고 가격의 약 74%입니다.,최저 가격은 16000.0 만원이다. 가장 최신의 거래는 최저 가격보다 2200.0 만원 더 높다. 가장 최신의 거래는 최저 가격의 약 1.1375배이다.,최근 거래량은 증가하는 추세입니다. 이는 전체 평균 거래량인 약 3.22에 비해 최근 5개월의 평균 거래량이 약 3.4로 더 높기 때문입니다.,"최근 가격은 감소한 것으로 보입니다. 이 결론은 가장 최근 데이터 포인트들의 평균 가격이 가장 오래된 데이터 포인트들의 평균 가격보다 높기 때문입니다. 가장 최근의 평균 가격은 19억 9100 만원이고, 가장 오래된 데이터의 평균 가격은 18억 400 만원입니다."
1Wl74,33,아파트의 평균 가격은 27억1190 만원입니다.,아파트의 상위 30% 층의 평균 가격은 27억7000 만원입니다.,아파트의 하위 30% 층의 평균 가격은 27억7000 만원입니다.,가장 최근의 거래 가격은 평균 가격보다 약 5809 만원 높습니다. 가장 최근 가격과 평균 가격의 비율은 대략 1.02입니다.,최고 가격은 최신 거래 가격보다 4억3000 만원 높습니다. 이 차이는 최고 가격의 약 13.44%에 해당합니다.,가장 낮은 가격은 22억5000 만원입니다. 가장 최근의 가격은 27억7000 만원으로 가장 낮은 가격보다 5억2000 만원 높습니다. 가장 최근의 가격은 가장 낮은 가격의 약 1.23배입니다.,최근 거래량은 2로 전체 평균 거래량인 약 3.89보다 낮습니다. 이는 최근 거래량이 전체적인 거래량에 비해 감소하고 있다는 것을 의미합니다.,"최근 가격의 방향성은 상승입니다. 이는 가장 최근의 가격이 27억 7000 만원으로, 가장 오래된 가격인 22억 5000보다 높기 때문입니다."
1Wl74,43,아파트의 평균 가격은 32억5202 만원입니다.,아파트의 상위 30% 층의 평균 가격은 35억5000 만원입니다.,아파트의 하위 30% 층의 평균 가격은 35억5000 만원입니다.,"가장 최신의 거래 가격은 평균 가격보다 약 29,797 만원 더 높습니다. 이는 가장 최신의 거래 가격이 평균 가격보다 약 9% 더 높다는 것을 의미합니다.",가장 높은 가격은 41억0 만원입니다. 가장 최근의 거래 가격은 가장 높은 가격보다 5억5000 만원 낮습니다. 가장 최근의 가격과 가장 높은 가격의 비율은 대략 0.866입니다.,최소 가격은 26억5000 만원입니다. 가장 최근의 가격은 최소 가격보다 9억0 만원 높습니다. 가장 최근의 가격은 최소 가격에 대해 대략 1.34의 비율입니다.,최근 거래량은 평균 거래량인 약 2.57보다 낮은 1입니다. 이는 최근 거래량이 전체 거래량에 비해 감소하고 있다는 것을 나타냅니다.,"최근 가격의 방향성은 상승입니다. 이는 가장 최근의 가격이 35억 5000 만원으로, 가장 오래된 가격인 31억 7000 만원보다 높기 때문입니다."
1Xa59,12,아파트의 평균 가격은 10억1908 만원입니다.,아파트의 상위 30% 층의 평균 가격은 대략 10억3170 만원입니다.,"아파트의 하위 30% 층의 평균 가격은 10억 4,300만 원입니다.","가장 최신의 거래 가격은 평균 가격보다 약 3091 만원 높으며, 이는 평균 가격에 대한 약 103%에 해당합니다.",최고 가격은 12억7500 만원입니다. 가장 최근의 거래 가격은 최고 가격보다 2억2500 만원 낮습니다. 가장 최근의 거래 가격은 최고 가격에 대해 대략 0.824의 비율입니다.,최소 가격은 8억2000 만원입니다. 가장 최근의 가격은 최소 가격보다 2억3000 만원 높습니다. 가장 최근의 가격과 최소 가격의 비율은 대략 1.28입니다.,최근 거래량이 증가하고 있습니다. 이 결론은 가장 최근 달의 거래량이 모든 달의 평균 거래량보다 높기 때문에 거래량의 상승 추세를 나타내기 때문입니다.,"최근 가격은 약간 상승하는 추세로 보입니다. 처음 몇 행의 가격과 마지막 몇 행의 가격을 비교했을 때, 마지막 몇 행의 최고 가격이 처음 몇 행의 최고 가격보다 약간 높고, 마지막 몇 행의 최저 가격도 처음 몇 행의 최저 가격보다 약간 높습니다. 이는 가격이 약간 상승하고 있음을 나타냅니다."
1Xa59,33,아파트의 평균 가격은 22억3497 만원입니다.,아파트의 상위 30% 층의 평균 가격은 25억9000 만원입니다.,아파트의 하위 30% 층의 평균 가격은 대략 22억798 만원입니다.,"가장 최신의 거래 가격은 평균 가격보다 약 35,502 만원 더 높습니다. 또한, 가장 최신의 거래 가격은 평균 가격의 약 116%입니다.",최고 가격은 26억5000 만원입니다. 가장 최근의 거래 가격은 25억9000 만원으로 최고 가격보다 6000 만원 낮습니다. 가장 최근 가격은 최고 가격의 약 0.977 또는 97.7%입니다.,최소 가격은 18억2000 만원입니다. 가장 최근의 가격은 최소 가격보다 7억7000 만원 높습니다. 가장 최근의 가격은 최소 가격의 약 1.42배입니다.,"최근 거래량이 전체 거래량의 평균보다 약간 높습니다. 이는 최근 거래량이 증가하고 있다는 것을 나타냅니다.",최근에 가격이 상승했습니다. 이는 데이터프레임에서 첫 번째 행의 가격이 마지막 행의 가격보다 높기 때문입니다.
9YLdc,33,아파트의 평균 가격은 12억6981 만원입니다.,아파트의 상위 30% 층의 평균 가격은 12억 원입니다.,아파트의 하위 30% 층의 평균 가격은 대략 12억 원입니다.,"가장 최신의 거래 가격은 평균 가격보다 약 1억 6981 만원 낮습니다. 이는 가장 최신의 거래 가격이 평균 가격의 약 86.6%임을 의미합니다.",가장 최근의 거래 가격은 4억4000 만원이고 이는 최고 가격인 12억7800 만원보다 낮습니다. 이는 최고 가격의 약 28.57%에 해당합니다.,가장 최근의 가격은 최소 가격보다 1억5000 만원 높습니다. 가장 최근의 가격은 최소 가격의 대략 1.16배입니다.,최근 거래량의 방향성은 증가하고 있습니다. 이는 마지막 몇 개월 동안의 거래량이 점차 증가하고 있음을 확인함으로써 판단했습니다.,"최근 가격의 방향성은 변동성이 있으며, 명확한 상승 추세나 하락 추세를 보이지 않습니다. 처음 몇 행의 가격은 증가하는 추세를 보이지만, 마지막 몇 행의 가격은 명확한 추세 없이 변동하고 있습니다. 이는 가격 데이터의 행이 낮을수록 최신 데이터이기 때문에, 처음 몇 행과 마지막 몇 행을 비교하여 판단하였습니다."
aQr4c,25,아파트의 평균 가격은 10억6162 만원입니다.,아파트의 상위 30% 층의 평균 가격은 10억 1500만 원입니다.,아파트의 하위 30% 층의 평균 가격은 10억1000 만원입니다.,가장 최신의 거래 가격은 평균 가격보다 약 5162 만원 낮습니다. 그리고 가장 최신의 거래 가격은 평균 가격의 약 95%입니다.,가장 높은 가격은 12억5000 만원입니다. 가장 최근의 가격은 가장 높은 가격보다 2억4000 만원 낮습니다. 가장 최근의 가격은 가장 높은 가격의 0.808배입니다.,최소 가격은 8억 원이다. 가장 최근의 가격은 10억 1000 만원이며 이는 최소 가격보다 2억 1000 만원 높다. 가장 최근의 가격은 최소 가격의 1.2625배이다.,최근 거래량은 10으로 전체 평균 거래량인 약 3.82보다 높습니다. 따라서 최근 거래량은 전체 거래량에 비해 증가하고 있습니다.,최근 가격은 감소하고 있습니다. 이는 가장 최근의 데이터(10억 1000 만원)가 그 이전의 데이터(10억 4500 만원)보다 낮기 때문입니다.
aQr4c,35,아파트의 평균 가격은 14억2645 만원입니다.,아파트의 상위 30% 층의 평균 가격은 14억 원입니다.,아파트의 하위 30% 층의 평균 가격은 13억2000 만원입니다.,가장 최신의 거래 가격은 평균 가격보다 약 -9645 만원 낮습니다. 이는 가장 최신의 거래 가격이 평균 가격의 약 93%임을 의미합니다.,가장 최근의 가격은 3억1700 만원으로 가장 높은 가격인 14억0 만원보다 약 19.25% 낮습니다.,최근 거래 가격은 최저 가격보다 1억3000 만원 높습니다. 또한 최근 거래 가격은 최저 가격의 약 1.108배입니다.,"최근 거래량은 2로 전체 평균 거래량인 약 1.44보다 높습니다. 따라서 최근 거래량의 방향성은 전체 거래량에 비해 상승하는 것으로 보입니다. 이는 최근 거래량이 전체 거래량의 평균보다 높기 때문입니다.",최근 가격의 방향성은 하락입니다. 이는 가장 최근 데이터의 가격이 가장 오래된 데이터의 가격보다 낮기 때문입니다.
b5y9a,24,아파트의 평균 가격은 11억8113 만원입니다.,아파트의 상위 30% 층의 평균 가격은 약 11억9000 만원입니다.,아파트의 하위 30% 층의 평균 가격은 약 11억 9천만 원입니다.,가장 최신의 거래 가격은 평균 가격보다 약 -113 만원 낮습니다. 이는 가장 최신의 거래 가격이 평균 가격의 약 99.9%임을 의미합니다.,가장 높은 가격은 14억6500 만원입니다. 가장 최근 거래의 가격은 가장 높은 가격보다 2억8500 만원 낮습니다. 가장 최근 거래의 가격은 가장 높은 가격의 약 0.805배입니다.,최소 가격은 9억3000 만원입니다. 가장 최근의 가격은 최소 가격보다 2억5000 만원 높습니다. 가장 최근의 가격과 최소 가격의 비율은 대략 1.27입니다.,최근 거래량이 증가하고 있습니다. 이유는 최근 몇 달 동안의 거래량이 전체 기간의 평균 거래량보다 높기 때문입니다.,최근 가격은 감소했습니다. 이는 가장 최근의 가격이 11억 8000 만원이고 가장 오래된 가격이 11억 9000 만원이기 때문입니다.
b5y9a,34,아파트의 평균 가격은 대략 15억2247 만원입니다.,아파트의 상위 30% 층의 평균 가격은 대략 15억1575 만원입니다.,아파트의 하위 30% 층의 평균 가격은 대략 15억1454 만원입니다.,가장 최신의 거래 가격은 평균 가격보다 약 6247 만원 낮습니다. 가장 최신의 거래 가격은 평균 가격의 약 96%입니다.,가장 높은 가격은 19억8000 만원입니다. 가장 최근의 가격은 가장 높은 가격보다 5억2000 만원 낮습니다. 가장 최근의 가격과 가장 높은 가격의 비율은 대략 0.737입니다.,최근 거래의 가격은 최저 가격보다 2억1500 만원 높습니다. 최근 거래의 가격은 최저 가격의 약 117%입니다.,최근 거래량의 방향성은 감소하는 것으로 보입니다. 이유는 최근 거래량이 전체 거래량의 평균보다 낮기 때문으로 이는 최근에 거래량이 감소하고 있다는 것을 나타냅니다.,최근 가격의 방향성은 하락입니다. 이는 최신 데이터의 평균 가격이 오래된 데이터의 평균 가격보다 낮기 때문입니다.
1Xyb5,26,아파트의 평균 가격은 대략 16억9860 만원입니다.,아파트의 상위 30% 층의 평균 가격은 17억8500 만원입니다.,"아파트의 하위 30% 층의 평균 가격은 17억 5,300만 원입니다.",가장 최근의 거래 가격은 평균 가격보다 약 8640 만원 높습니다. 가장 최근 가격과 평균 가격의 비율은 약 1.05입니다.,최고 가격은 21억5000 만원이고 가장 최신의 거래는 3억6500 만원 낮은 17억8500 만원입니다. 최신 거래의 가격은 최고 가격의 약 0.8925입니다.,최소 가격은 14억2000 만원입니다. 가장 최근의 가격은 17억8500 만원으로 최소 가격보다 3억6500 만원 높습니다. 가장 최근 가격과 최소 가격의 비율은 대략 1.257입니다.,최근 거래량은 6이고 평균 거래량은 5.9입니다. 따라서 최근 거래량은 평균 거래량보다 약간 높습니다. 이는 최근에 거래 활동이 증가하고 있음을 나타냅니다.,최근 가격의 방향성은 상승입니다. 이 판단은 가장 최근 데이터의 평균 가격이 가장 오래된 데이터의 평균 가격보다 높기 때문입니다.
1Xyb5,34,아파트의 평균 가격은 대략 20억3069 만원입니다.,아파트의 상위 30% 층의 평균 가격은 21억5000 만원입니다.,아파트의 하위 30% 층의 평균 가격은 21억2000 만원입니다.,"가장 최근의 거래 가격은 평균 가격보다 약 8930 만원 더 높습니다. 또한 가장 최근의 거래 가격은 평균 가격에 대해 약 1.04의 비율을 가지고 있어, 평균 가격보다 약 4.4% 더 높습니다.",가장 높은 가격은 25억 3000만원입니다. 가장 최근의 거래 가격은 최고 가격보다 4억 1000만원 낮습니다. 최근 가격은 최고 가격의 약 0.838입니다.,최소 가격은 10억 만원입니다. 가장 최근의 거래 가격은 21억 2000만원으로 최소 가격보다 11억 2000만원 높습니다. 이 두 가격의 비율은 2.12입니다.,최근 거래량의 방향성은 감소하고 있습니다. 이유는 전체 거래량의 평균이 약 9.33인데 반해 최근 3개월의 거래량 평균은 8.0으로 최근 거래량의 평균이 전체 거래량의 평균보다 낮기 때문입니다.,최근 가격은 증가하는 방향입니다. 이 판단의 이유는 두 번째로 최근의 가격이 19억 원에서 가장 최근의 가격인 2억 1500 만원으로 증가했기 때문입니다.
1Xyb5,45,아파트의 평균 가격은 대략 24억7946 만원입니다.,아파트의 상위 30% 층의 평균 가격은 26억0 만원입니다.,아파트의 하위 30% 층의 평균 가격은 26억0 만원입니다.,"가장 최근의 거래 가격은 평균 가격보다 약 12,53 만원 더 높습니다. 이는 가장 최근의 거래 가격이 평균 가격보다 약 4.86% 더 높다는 것을 의미합니다.",최고 가격은 30억0 만원입니다. 가장 최근의 가격은 26억0 만원으로 최고 가격보다 4억0 만원 낮습니다. 최근 가격은 최고 가격의 약 0.867배입니다.,최소 가격은 19억6500 만원입니다. 가장 최근의 거래 가격은 26억0 만원으로 최소 가격보다 1.32배 높습니다.,최근 거래량이 증가하고 있습니다. 이는 전체 평균 거래량인 약 2.67에 비해 최근 3개월의 평균 거래량이 약 3.33으로 더 높기 때문입니다.,최근 가격은 상승하고 있습니다. 이는 가장 최근의 데이터(26 억원)가 가장 오래된 데이터(19억 6500 만원)보다 높기 때문입니다.
1Xyb5,52,아파트의 평균 가격은 26억8875 만원입니다.,아파트의 상위 30% 층의 평균 가격은 약 27억 원입니다.,아파트의 하위 30% 층의 평균 가격은 26억5000 만원입니다.,"가장 최신의 거래 가격은 평균 가격보다 1억3125 만원 더 높습니다. 추가로, 가장 최신의 거래 가격은 평균 가격의 약 104.88%입니다.",최고 가격은 28억2000 만원이고 가장 최신의 거래의 가격은 최고 가격보다 4억8000 만원 낮습니다. 가장 최신의 거래의 가격은 최고 가격의 약 0.85입니다.,최소 가격은 22억0 만원입니다. 가장 최근의 거래 가격은 28억2000 만원으로 최소 가격보다 6억2000 만원 높습니다. 가장 최근 가격과 최소 가격의 비율은 약 1.28입니다.,최근 거래량의 방향성은 증가하지 않았습니다. 이유는 최근 한 달 동안의 거래량이 평균 거래량과 동일하기 때문으로 이는 최근 거래량에 큰 변화가 없음을 나타냅니다.,"최근 가격의 방향성은 하락세입니다. 가장 최신의 데이터(인덱스 0)에서 가격은 28억 2000 만원이고, 좀 더 오래된 데이터(인덱스 4)에서 가격은 27억 원입니다. 따라서, 최근 가격은 감소하고 있습니다."
